Creation_Date,User,feedback_txt
9/11/2020,OncologyForum," @bctrcg We agree ""Let's start talking about cancer again""!  Register now.1st class Breast sessions with updates and insights from ASCO/ESMO) BCTRCG workshop  BASO pan-tumour surgical session. AND the BIG Cancer/Covid19 Debate! Reg still open  https://t.co/o4cXrlLOqv FREE CME 24/25/9 #OF20"
9/11/2020,MEDtalksCH," Signed up yet for the first ""ESMO in the Alps"" parallel to the #ESMO20 Virtual Congress? Review and discuss the most important findings with Swiss experts in the topics of GI  GU  Breast/Gyn  Lung  Sarcoma  and others.  Sign up here  https://t.co/dStrIXqzxD  #medicaleducation  https://t.co/gobAtyWEDu"
9/10/2020,BoycottTrumpBus, $IMMU Trodelvy at ESMO: Thu  09/17 - 3 am EST   1. Phase 1b/2 study of antibody-drug conjugate  sacituzumab govitecan  in combination with the PARP inhibitor  talazoparib  in metastatic triple-negative breast cancer 2. TROPHY-U-01 cohort 3: SG &amp; pembro
9/10/2020,john_bresnahan," $PFE #ESMO  Will be nice to see data from:   ""PALLAS: A Randomized Phase III Trial of Adjuvant Palbociclib with Endocrine Therapy Versus Endocrine Therapy Alone for HR+/HER2- Early Breast Cancer""  Recall top line read out really hit them hard...   https://t.co/ZAdOIkN0FV"
9/8/2020,VukovicPetra, 👀 on @ESMO_Open supplement ➡️ #ESMO management &amp; treatment adapted recommendations in the #COVID-19 era for:  ✳️ Lung cancer ✳️ Colorectal cancer ✳️ Breast cancer ✳️ Pancreatic cancer ✳️ Renal cell carcinoma  ✳️ Gynecological malignancies  #Oncoalert   https://t.co/ZKqfPoK4oJ  https://t.co/3gfvUOPO75
9/8/2020,OncologyForum, @NABCOP_news @HQIP @rcseng @ABSGBI hope some of your members can join us for the 2020 Virtual UK Oncology Forum! FREE  CME accredited. 1st class Breast Cancer programme  ESMO updates &amp; Covid-19 debate. Register now  https://t.co/VhMCRNX0oK 24/25 September! #OF20
9/7/2020,VriesElisabeth, 2 papers and podcast which apply ESMO-Magnitude of Clinical Benefit Scale (V.1.1) to the field of 1) early breast cancer therapies and 2) adjuvant colon cancer trials @OncoAlert @myESMO   https://t.co/HysWBaHw9j  https://t.co/1QuTdWpCcg
9/6/2020,OncLiveSOSS, #ICYMI: In a previous episode of #OncLiveOnAir  Dr. Mark D. Pegram  of @Stanford  spotlighted notable data in breast cancer that were presented during the 2020 ASCO and ESMO Breast virtual meetings #bcsm   https://t.co/4efXo1NrJP  https://t.co/FqLGlUwQeX
9/5/2020,OncLive, #ICYMI: In a previous episode fo #OncLiveOnAir  Dr. Mark D. Pegram  of @Stanford  spotlighted notable data in breast cancer that were presented during the 2020 ASCO and ESMO Breast virtual meetings. #bcsm  https://t.co/CFSIaR0aw7  https://t.co/9B0SegmCNH
9/4/2020,OncologyForum, @YMasannat @iBreastBook @GretaOncoplast @TheMammaryFold1 @ASBrS @ABSGBI @asgbi @BreastAdvocate @me4_so @StuartAMcI @Oncoplasticmd @Oncoplasticsurg @annepeledmd @DrAnneDancey @ASPS_News @BAPRASvoice @PLASTAUK @ASiTofficial Hope you can join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class Breast cancer educational  sessions. BASO will deliver a dynamic pan-tumour surgical session. ESMO highlights &amp; much more!  Register now  https://t.co/VhMCRNX0oK #OF20
9/1/2020,OncLive, #ICYMI: In a previous episode of #OncLiveOnAir  Dr. Mark D. Pegram  of @StanfordCancer  spotlighted notable data in breast cancer that were presented during the 2020 ASCO and ESMO Breast virtual meetings. @ASCO @myESMO #ASCO20 #bcsm Listen now:  https://t.co/zeVUWYpzrO!  https://t.co/2HYJDcxeZV
8/30/2020,OncologyForum, @YMasannat @Liz_ORiordan @GretaOncoplast @ejsotweets @Oncoplasticmd @SurgOncTA @BreastAdvocate @breastsurgeonpk @me4_so @BreastDocUK @DiepFlapBreast @iBreastSurgeon @LornaMcHAbz @DrTashaG @hudshaker @miss_ahumphreys @annepeledmd The 2020 meeting is now virtual. FREE CME accredited! Your members are most welcome. 1’st class breast cancer sessions. BASO will deliver a dynamic pan-tumour session. ESMO highlights! Reg now! #OF20
8/28/2020,Azimkhan_2014, Very delighted as our two abstracts are accepted at virtual #ESMO2020. Important work on indigenous women with breast cancer and contribution towards #GeriOnc as well through one of our studies. Excited for ESMO... @SIOGorg  https://t.co/YSWQS9k1wq
8/26/2020,CancerDirectory, Novel Biomarkers Predict Benefit with Immunotherapy in Metastatic Breast Cancer [ESMO Press Release] #cancers  https://t.co/yFB2oJxvzj
8/26/2020,OncologyForum, @YMasannat @ESSOnews @ABSGBI @tiborkovacsdr @ASiTofficial @BreastMe4 Hope you UK HCPs can join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class educational Breast sessions. BASO will deliver a dynamic pan-tumour surgical session. ESMO highlights &amp; much more!  Register now  https://t.co/VhMCRNX0oK #OF20
8/26/2020,OncologyForum, @ABSGBI Hope you can join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class educational Breast cancer sessions. BASO will deliver a dynamic pan-tumour surgical session. ESMO highlights &amp; much more!  Register now  https://t.co/VhMCRNX0oK #OF20
8/26/2020,OncologyForum, @weare_iBRANET Hope you can join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class educational BREAST cancer sessions. BASO will deliver a dynamic pan-tumour surgical session. ESMO highlights. Register now  https://t.co/VhMCRNX0oK #OF20
8/26/2020,OncologyForum, @NABCOP_news Hope you can all join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class educational Breast cancer sessions. BASO deliver a dynamic pan-tumour surgical session. ESMO highlights! Register  https://t.co/VhMCRNFp0a #OF20 HCPs only FREE
8/26/2020,OncologyForum, @NottmBCRC Hope your breast cancer members can join us for 2020 Virtual UK Oncology Forum 24&amp;25 September. FREE  CME accredited. 1st class educational Breast cancer sessions. BASO will deliver a pan-tumour surgical session ESMO highlights!  Register   https://t.co/VhMCRNX0oK #OF20
8/25/2020,OncologyForum, @TheMammaryFold1 The 2020 meeting is now virtual. FREE CME accredited! Your members are most welcome. 1’st class breast cancer sessions. BASO will deliver a dynamic pan-tumour session. ESMO highlights! Reg now! #OF20
8/21/2020,OncologyForum, @DrFionaTsang @fsgfon @BucksHealthcare @royalmarsdenNHS @FionaMacNeill1 @marios_tasoulis Hope you can join us for the 2020 Virtual Oncology Forum 24&amp;25 September. FREE CME accredited ESMO highlights &amp; much more! Top leading breast expert speakers! BASO will deliver 1st class pan-tumour surgical session. Register now  https://t.co/VhMCRNX0oK #OF20
8/20/2020,prat_aleix, CDK4/6 is correct. Intravenous administration.  Interesting phase 2 results in breast cancer as well (presented at esmo and @TheLancetOncol)   https://t.co/3ddkUtAcUX  https://t.co/wYYGgGxpGp
8/20/2020,OncologyForum, @bctrcg @TheMammaryFold1 @BNTRC @Global_NSurg Still time to register for the BCTRCG workshop at the 2020 UK Virtual Oncology Forum! Register now - top class Breast Cancer speakers &amp; BASO will also deliver a pan-tumour surgical session. FREE CME  COVID-19  ESMO &amp; much more!  https://t.co/o4cXrlLOqv #OF20
8/18/2020,demattosarruda, 📢 PIK3CA mutation inhibition 🎯 in hormone receptor-positive breast cancer: time has come. My editorial just out at   https://t.co/ncBeO7Ojcy @OncoAlert @ESMO_Open #breastcancer #PrecisionMedicine  https://t.co/jJE7WhidYZ
10/17/2020,kidneycancers, #kidneycancer Key Takeaways From ESMO: Immunotherapy for Renal Cell Carcinoma  https://t.co/3Du54iVXho via @practiceupdate
10/16/2020,sogug1, Ya disponible la Revisión de lo más relevante en Cáncer Renal en ESMO 2020. Feliz fin de semana a tod@s!  https://t.co/m3VOMg6lmv
10/9/2020,MM_Oncology, Another trial - TiNivo - that we covered at last year's ESMO is also now published in @Annals_Oncology  https://t.co/Z3ONk5QjUg Click below for our report of this study of nivolumab–tivozanib in metastatic #RCC @KidneyCancer @uroupdate  https://t.co/O6dOkoDWIF
10/8/2020,VJOncology, VIDEO: #RCC data at ESMO 2020 w/ @AlbigesL of @GustaveRoussy:  https://t.co/rCdODvrqYx   @VJOncology @myESMO @OncoAlert #ESMO20 #OncoAlert #KidneyCancer #KCsm
10/7/2020,MehrpouyaMobin, Very interesting data from ESMO in #RCC #BladderCancer #prostatecancer digested &amp; brought into clinical context 🔦🧩  #BLCSM #GUcancers #PCSM #KCSM #KidneyCancer
10/5/2020,ChandlerHParkMD, Thank you @DrChoueiri for doing a Doximity discussion with me after the 2020 ESMO meeting on Renal Cell Cancer to update Physicians.  Loved talking about the most current data and treatment recommendations for our patients. @myESMO  @doximity.@OncoAlert  https://t.co/8IKXlUi0pT
10/4/2020,Dr_Ivanoncologo, #UCC and #RCC in Post-ESMO 2020 news! @cdanicas  @tompowles1 Thanks for the excellent session!  https://t.co/eXZDYYwa0D
10/3/2020,PracUpOnc, ESMO 2020: Nivolumab plus Cabozantinib Outperforms Sunitinib in Advanced Renal Cell Carcinoma  https://t.co/yCOyrgLOWG #oncology
10/2/2020,sohecsas, SOHEC SAS ⚕ Te invita a asistir al Curso post-ESMO virtual 2020  Cancer renal y carcinoma urotelial  este sábado 03 de octubre a las 8:45 am. Si estás interesado  por favor escríbenos al correo 📧 siceventos2020@gmail.com y te enviaremos los datos de acceso a la conferencia.  https://t.co/TljGL8pFX5
10/1/2020,PracUpOnc, ESMO 2020: Recommendations From Dr. Eric Jonasch for Renal Cell Carcinoma  https://t.co/6jChS7TeFW #RCC
9/30/2020,PracUpOnc, ESMO 2020: Recommendations From Dr. Eric Jonasch for Renal Cell Carcinoma  https://t.co/GJ1PWF7nL5 #oncology
9/21/2020,kevlitchfield, Congratulations to @yuezhao97 for an excellent ESMO oral talk on spatial evolution in renal TRACERx. Here is the pre-print for this study:  https://t.co/8vSKh7RcPV huge thanks to all the labs &amp; clinical teams contributing to this study across the Crick  Royal Marsden  Guys  Cruces
9/20/2020,IKCCorg, ESMO Highlights Von Hippel-Lind (VHL) syndrome occurs because of hereditary inactivating genomic alterations in the VHL gene  resulting in a higher risk of developing #kidneycancer renal cell carcinoma  https://t.co/ThnxmAv5z5 via @urotoday
9/20/2020,quant_data, Bristol Myers Squibb Exelixis Announced Saturday at ESMO 2020  Opdivo in Combination with CABOMETYX Demonstrates Significant Survival Benefits in Patients with Advanced Renal Cell Carcinoma in Pivotal Phase 3 CheckMate -9ER Trial  Related Tickers: $BMY $EXEL
9/20/2020,MazenzCom, ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9ER Trial -  https://t.co/DIIPUWbcG0
9/20/2020,PharmacDaily, ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9ER Trial  https://t.co/Muwuiv5e4t
9/19/2020,Stock_Market_Pr, ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9ER Trial  https://t.co/wHhYCQ7I6Q #StockMarket
9/19/2020,OncologyForum, @HattieMintz @BladderPath @Prof_Nick_James @docpp1 @unibirm_MDS @BladderPath will be exhibiting at the 2020 Virtual Oncology Forum - hope you can all register and join the meeting. Excellent Bladder/Renal/Prostate programme. 1st class oncology expert speakers. This week! 24/25 September incs ESMO highlights!  https://t.co/aY8jKCSU3X #OF20
9/19/2020,otcdynamics, $IPSEY ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9  https://t.co/dydmlU8YUL
9/19/2020,equity_newswire, $IPN ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9ER Trial  https://t.co/tb7AjKE5n9
9/19/2020,NewsFromBW, ESMO 2020: Cabometyx® (cabozantinib) in Combination With Opdivo® (nivolumab) Demonstrates Significant Survival Benefits in Patients With Advanced Renal Cell Carcinoma in Pivotal Phase III CheckMate -9ER Trial  https://t.co/I1T1a3cPHI  https://t.co/gjCt1GThGM
9/19/2020,myESMO, ESMO President @peters_solange ‘I eagerly await to see you all at today’s #ESMO20 Presidential Symposium I at 18:30 CEST for compelling presentations in lung and renal cell #cancer.’ Access the platform here  https://t.co/aIdh9A3NyZ #lcsm  https://t.co/W1Naovx6Hs
9/19/2020,IKCCorg, ESMO 2020: Recommendations From IKCC Board Director Dr. Eric Jonasch for Renal Cell Carcinoma #kidneycancer  https://t.co/jIAEtSXLk2 via @practiceupdate
9/17/2020,Matulienko, $EXEL ESMO presentation this weekend stellar data... on its way to 2 bilions sales/year just in renal... MMM said: data good enough to bring benefit to literally any patients with advanced  untreated kidney cancer.
9/13/2020,charlesryanmd, Congrats @AmitKulkarniMD @UMNHOT @UMNCancerand many more to come! Pub in @ESMO_Open showing that #NSCLC and #RCC patients Rx'ed w Abx during #Checkpointinhibitor Therapy experience shorter rPFS (RCC only)  rPFS and OS in NSCLC. No effect in #AML
9/13/2020,ej23ny, @ExelixisInc $exel @ScienceAtBMS phase 3 CheckMate -9ER Cabo +OPDIVO 1L #RCC will be presented #ESMO next week. The abstract was selected as one the best abstract in conference. @abbvie @pfizer  $PFE $MRK $JNJ $ABBV $BMRN $VRTX $LLY $TSLA $APPL $AMZON $GOOGL $AZN $SNY $ALXO $JPM
9/12/2020,DrChoueiri, Who is getting ready for @myESMO (Sep 19-21)? Outstanding program put in by ESMO President Prof. @peters_solange  Scientific Chair @HaanenJohn &amp; many others #ESMO2020. #GU Plenaries well-represented: Checkmate-9R in #RCC  PROFound &amp; IPATential150 in #CRPC.  https://t.co/IYW4F974NF  https://t.co/Ms0sguT4gX
9/12/2020,OncologyForum, Mr Rajesh Nair Guy's ~ joins a 1st class team of speakers for the 2020 Virtual UK Oncology Forum  RENAL&amp;BLADDER sessions. 24&amp;25 September FREE  CME accredited. Reg now  ESMO highlights  the BIG COVID/CANCER debate &amp; much more. Reg now! #OF20
9/12/2020,OncologyForum, We are delighted that Dr Simon Crabb joins a dynamic Renal/Bladder team for the 2020 Virtual UK Oncology Forum. FREE  CME 24/25 September. 1st class leading expert speakers  ESMO highlights  BIG COVID/CANCER debate #OF20 @achoud72 Jointly chaired by Prof Choudhury &amp; #whereshoskin
9/8/2020,VukovicPetra, 👀 on @ESMO_Open supplement ➡️ #ESMO management &amp; treatment adapted recommendations in the #COVID-19 era for:  ✳️ Lung cancer ✳️ Colorectal cancer ✳️ Breast cancer ✳️ Pancreatic cancer ✳️ Renal cell carcinoma  ✳️ Gynecological malignancies  #Oncoalert   https://t.co/ZKqfPoK4oJ  https://t.co/3gfvUOPO75
9/2/2020,tompowles1, The ESMO Virtual Preceptorship on Metastatic Bladder and Kidney Cancer has started. Really great renal cancer  questions.  Front line therapy is focused on immune therapy but what to do 2nd line. VEGF therapy is standard but there is very little prospective data. @myESMO  https://t.co/SH2DRQVgMf
8/30/2020,rothermundtc, Impact of COVID-19 pandemic on treatment patterns in metastatic clear cell renal cell carcinoma | Esmo Open  https://t.co/kBisoZf1r8
8/20/2020,ej23ny, $exel very exciting 1) show case new asset xl092 data at #Esmo  next-generation oral tyrosine kinase the new Cabo will be born.2) checkmate 9ER ph 3 data 1L #Rcc #esmo 3) Phase 3 COSMIC-311 DTC ORR in second half of 2020 probably end of August or beginning of September.
8/11/2020,ej23ny, @SurrogateCap $exel COSMIC 311 Ph3: DTC readout very soon Aug -Sept. Checkmate 9ER PH3: 1L #RCC Full data release at ESMO  late-breaking abstracts released Sept 18
